name	multiverseId
Abuna's Chant	50164
Armed Response	73566
Auriok Champion	72921
Auriok Salvagers	51166
Auriok Windwalker	46175
Beacon of Immortality	50141
Bringer of the White Dawn	73556
Leonin Squire	72722
Loxodon Anchorite	50137
Loxodon Stalwart	73567
Raksha Golden Cub	73569
Retaliate	50213
Roar of Reclamation	51080
Skyhunter Prowler	50136
Skyhunter Skirmisher	51220
Stand Firm	50138
Stasis Cocoon	51607
Steelshaper's Gift	51078
Vanquish	51147
Acquire	51088
Advanced Hoverguard	50144
Artificer's Intuition	50172
Beacon of Tomorrows	51610
Blinkmoth Infusion	51634
Bringer of the Blue Dawn	73554
Condescend	51223
Disruption Aura	76971
Early Frost	73571
Eyes of the Watcher	73925
Fold into Aether	51631
Hoverguard Sweepers	51086
Into Thin Air	50147
Plasma Elemental	73562
Qumulox	47800
Serum Visions	50145
Spectral Shift	73572
Thought Courier	73570
Trinket Mage	50163
Vedalken Mastermind	50834
Beacon of Unrest	51611
Blind Creeper	50212
Bringer of the Black Dawn	73555
Cackling Imp	73597
Desecration Elemental	50204
Devour in Shadow	50210
Dross Crocodile	51189
Ebon Drake	51095
Endless Whispers	50129
Fill with Fright	46159
Fleshgrafter	50209
Lose Hope	50207
Mephidross Vampire	50211
Moriok Rigger	51091
Night's Whisper	51178
Nim Grotesque	73574
Plunge into Darkness	72681
Relentless Rats	73573
Shattered Dreams	51092
Vicious Betrayal	73575
Beacon of Destruction	51612
Bringer of the Red Dawn	73553
Cosmic Larva	43529
Feedback Bolt	46108
Furnace Whelp	73578
Goblin Brawler	51170
Granulate	72721
Ion Storm	72925
Iron-Barb Hellion	44608
Krark-Clan Engineers	50201
Krark-Clan Ogre	51097
Magma Jet	51180
Magnetic Theft	51101
Mana Geyser	72727
Rain of Rust	51190
Reversal of Fortune	73564
Screaming Fury	51148
Spark Elemental	73579
Vulshok Sorcerer	51177
All Suns' Dawn	51221
Beacon of Creation	51613
Bringer of the Green Dawn	73552
Channel the Suns	73565
Dawn's Reflection	51222
Eternal Witness	51628
Fangren Pathcutter	50171
Ferocious Charge	51617
Joiner Adept	72928
Ouphe Vandals	50189
Rite of Passage	51163
Rude Awakening	73587
Sylvok Explorer	51125
Tangle Asp	50203
Tel-Jilad Justice	50190
Tel-Jilad Lifebreather	73582
Tornado Elemental	51161
Tyrranax	50191
Viridian Lorebearers	50188
Viridian Scout	73583
Anodet Lurker	51119
Arachnoid	51230
Arcbound Wanderer	72720
Avarice Totem	39667
Baton of Courage	51375
Battered Golem	73932
Blasting Station	51131
Chimeric Coils	50156
Clearwater Goblet	50198
Clock of Omens	51129
Composite Golem	73557
Conjurer's Bauble	50159
Cranial Plating	51184
Crucible of Worlds	51133
Door to Nothingness	73559
Doubling Cube	51135
Energy Chamber	47438
Engineered Explosives	50139
Ensouled Scimitar	51115
Eon Hub	51160
Etched Oracle	72725
Ferropede	51113
Fist of Suns	50117
Gemstone Array	50150
Goblin Cannon	48215
Grafted Wargear	50927
Grinding Station	51229
Guardian Idol	51138
Healer's Headdress	51182
Heliophial	50192
Helm of Kaldra	47449
